match_id,season,team1,team2,team1_wins_h2h,team2_wins_h2h,team1_win_pct_h2h,team2_win_pct_h2h,team1_recent_wins,team2_recent_wins,team1_win_pct,team2_win_pct,winner
335987,2007/08,Rajasthan Royals,Kings XI Punjab,0,0,0.0,0.0,0,0,0.0,0.0,Rajasthan Royals
335988,2007/08,Deccan Chargers,Delhi Daredevils,0,0,0.0,0.0,0,1,0.0,1.0,Delhi Daredevils
335989,2007/08,Chennai Super Kings,Mumbai Indians,0,0,0.0,0.0,1,0,1.0,0.0,Chennai Super Kings
335990,2007/08,Deccan Chargers,Rajasthan Royals,0,0,0.0,0.0,0,1,0.0,0.5,Rajasthan Royals
335991,2007/08,Kings XI Punjab,Mumbai Indians,0,0,0.0,0.0,0,0,0.0,0.0,Kings XI Punjab
335992,2007/08,Royal Challengers Bangalore,Rajasthan Royals,0,0,0.0,0.0,1,2,0.5,0.6666666666666666,Rajasthan Royals
335993,2007/08,Chennai Super Kings,Kolkata Knight Riders,0,0,0.0,0.0,2,2,1.0,1.0,Chennai Super Kings
335994,2007/08,Mumbai Indians,Deccan Chargers,0,0,0.0,0.0,0,0,0.0,0.0,Deccan Chargers
335995,2007/08,Kings XI Punjab,Delhi Daredevils,0,0,0.0,0.0,1,2,0.3333333333333333,1.0,Kings XI Punjab
335996,2007/08,Royal Challengers Bangalore,Chennai Super Kings,0,0,0.0,0.0,1,3,0.3333333333333333,1.0,Chennai Super Kings
335997,2007/08,Kolkata Knight Riders,Mumbai Indians,0,0,0.0,0.0,2,0,0.6666666666666666,0.0,Mumbai Indians
335998,2007/08,Delhi Daredevils,Royal Challengers Bangalore,0,0,0.0,0.0,2,1,0.6666666666666666,0.25,Delhi Daredevils
335999,2007/08,Deccan Chargers,Kings XI Punjab,0,0,0.0,0.0,1,2,0.25,0.5,Kings XI Punjab
336000,2007/08,Rajasthan Royals,Kolkata Knight Riders,0,0,0.0,0.0,3,2,0.75,0.5,Rajasthan Royals
336001,2007/08,Chennai Super Kings,Delhi Daredevils,0,0,0.0,0.0,4,3,1.0,0.75,Delhi Daredevils
