match_id,match_date,format,team1,team2,team1_wins_h2h,team2_wins_h2h,team1_win_pct_h2h,team2_win_pct_h2h,team1_recent_wins,team2_recent_wins,team1_win_pct,team2_win_pct,venue,venue_country,winner
64151,1974-03-31,ODI,Australia,New Zealand,1,0,1.0,0.0,3,1,0.6,0.25,Lancaster Park,New Zealand,Australia
64951,1974-07-13,ODI,India,England,0,0,0.0,0.0,0,4,0.0,0.5,Headingley,England,England
64952,1974-07-15,ODI,India,England,0,1,0.0,1.0,0,5,0.0,0.5555555555555556,Kennington Oval,England,England
64953,1974-08-31,ODI,England,Pakistan,0,0,0.0,0.0,6,0,0.6,0.0,Trent Bridge,England,Pakistan
64954,1974-09-03,ODI,England,Pakistan,0,1,0.0,1.0,6,1,0.5454545454545454,0.5,Edgbaston,England,Pakistan
64152,1975-01-01,ODI,Australia,England,2,2,0.5,0.5,4,6,0.6666666666666666,0.5,Melbourne Cricket Ground,Australia,England
64153,1975-03-08,ODI,England,New Zealand,1,0,0.5,0.0,7,1,0.5384615384615384,0.2,Carisbrook,New Zealand,
64154,1975-03-09,ODI,New Zealand,England,0,1,0.0,0.3333333333333333,1,7,0.16666666666666666,0.5,Basin Reserve,New Zealand,
65035,1975-06-07,ODI,England,India,2,0,1.0,0.0,7,0,0.4666666666666667,0.0,Lord's,England,England
65038,1975-06-07,ODI,Sri Lanka,West Indies,0,0,0.0,0.0,0,1,0.0,0.5,Old Trafford,England,West Indies
65037,1975-06-07,ODI,Australia,Pakistan,0,0,0.0,0.0,4,2,0.5714285714285714,0.6666666666666666,Headingley,England,Australia
65036,1975-06-07,ODI,New Zealand,East Africa,0,0,0.0,0.0,1,0,0.14285714285714285,0.0,Edgbaston,England,New Zealand
65042,1975-06-11,ODI,Pakistan,West Indies,0,0,0.0,0.0,2,2,0.5,0.6666666666666666,Edgbaston,England,West Indies
65041,1975-06-11,ODI,Australia,Sri Lanka,0,0,0.0,0.0,5,0,0.625,0.0,Kennington Oval,England,Australia
65040,1975-06-11,ODI,East Africa,India,0,0,0.0,0.0,0,0,0.0,0.0,Headingley,England,India
65039,1975-06-11,ODI,England,New Zealand,1,0,0.25,0.0,8,2,0.5,0.25,Trent Bridge,England,England
65045,1975-06-14,ODI,Australia,West Indies,0,0,0.0,0.0,6,3,0.6666666666666666,0.75,Kennington Oval,England,West Indies
65044,1975-06-14,ODI,India,New Zealand,0,0,0.0,0.0,1,2,0.25,0.2222222222222222,Old Trafford,England,New Zealand
65046,1975-06-14,ODI,Pakistan,Sri Lanka,0,0,0.0,0.0,2,0,0.4,0.0,Trent Bridge,England,Pakistan
65043,1975-06-14,ODI,England,East Africa,0,0,0.0,0.0,9,0,0.5294117647058824,0.0,Edgbaston,England,England
65047,1975-06-18,ODI,England,Australia,3,2,0.6,0.4,10,6,0.5555555555555556,0.6,Headingley,England,Australia
65048,1975-06-18,ODI,New Zealand,West Indies,0,0,0.0,0.0,3,4,0.3,0.8,Kennington Oval,England,West Indies
65049,1975-06-21,ODI,West Indies,Australia,1,0,1.0,0.0,5,7,0.8333333333333334,0.6363636363636364,Lord's,England,West Indies
64155,1975-12-20,ODI,West Indies,Australia,2,0,1.0,0.0,6,7,0.8571428571428571,0.5833333333333334,Adelaide Oval,Australia,Australia
64156,1976-02-21,ODI,India,New Zealand,0,1,0.0,1.0,1,3,0.2,0.2727272727272727,Lancaster Park,New Zealand,New Zealand
64157,1976-02-22,ODI,New Zealand,India,2,0,1.0,0.0,4,1,0.3333333333333333,0.16666666666666666,Eden Park,New Zealand,New Zealand
64955,1976-08-26,ODI,England,West Indies,1,1,0.5,0.5,10,6,0.5263157894736842,0.75,North Marine Road Ground,England,West Indies
64956,1976-08-28,ODI,West Indies,England,2,1,0.6666666666666666,0.3333333333333333,7,10,0.7777777777777778,0.5,Lord's,England,West Indies
64957,1976-08-30,ODI,West Indies,England,3,1,0.75,0.25,8,10,0.8,0.47619047619047616,Edgbaston,England,West Indies
64158,1976-10-16,ODI,New Zealand,Pakistan,1,0,1.0,0.0,5,3,0.38461538461538464,0.5,Jinnah Stadium,Pakistan,New Zealand
64159,1977-03-16,ODI,Pakistan,West Indies,0,1,0.0,1.0,3,9,0.42857142857142855,0.8181818181818182,Albion Sports Complex,West Indies,West Indies
64958,1977-06-02,ODI,Australia,England,3,3,0.5,0.5,8,10,0.6153846153846154,0.45454545454545453,Old Trafford,England,England
64959,1977-06-04,ODI,England,Australia,4,3,0.5714285714285714,0.42857142857142855,11,8,0.4782608695652174,0.5714285714285714,Edgbaston,England,England
64960,1977-06-06,ODI,England,Australia,5,3,0.625,0.375,12,8,0.5,0.5333333333333333,Kennington Oval,England,Australia
64160,1977-12-23,ODI,Pakistan,England,2,0,1.0,0.0,3,12,0.375,0.48,Zafar Ali Stadium,Pakistan,England
